""
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
8,20,1,0.0,elu,elu,adam,0.17549850665727407,6.44965178420855
9,20,1,0.0,elu,elu,adam,0.17729926247098846,7.831337889493048
0,20,2,0.0,elu,elu,adam,0.16632866223575757,5.8892612095881995
1,20,3,0.30000000000000004,elu,elu,adam,0.16964758653584644,5.897902071284752
2,20,1,0.30000000000000004,elu,elu,adam,0.17717368771534442,6.079271613895991
3,20,1,0.0,elu,elu,adam,0.16717155935680267,6.086955256302136
4,20,1,0.30000000000000004,elu,elu,adam,0.1633614897829336,6.090389413124509
5,20,1,0.0,elu,elu,adam,0.17241274844041637,6.188270099220393
6,20,1,0.0,elu,elu,adam,0.18431575369111763,6.197147147677988
7,20,2,0.0,elu,elu,adam,0.20812651149530367,8.043310679425348
8,20,2,0.0,elu,elu,adam,0.22017068881607496,10.439956456782747
9,20,3,0.30000000000000004,elu,elu,adam,0.3601545062012782,19.311129772270004
0,20,2,0.0,elu,elu,adam,0.16632866223575757,5.8892612095881995
1,20,3,0.30000000000000004,tanh,elu,adam,0.16964758653584644,5.897902071284752
2,20,1,0.30000000000000004,elu,elu,adam,0.1802961635489559,6.06478410550287
3,20,1,0.30000000000000004,elu,elu,adam,0.17717368771534442,6.079271613895991
4,20,1,0.30000000000000004,elu,elu,adam,0.17279406537330494,6.261970475586639
5,20,1,0.0,elu,elu,adam,0.16597249350642812,6.468385005083574
6,20,1,0.30000000000000004,tanh,elu,adam,0.19706833297380802,6.780495587334279
7,20,1,0.30000000000000004,tanh,elu,adam,0.1842551247492525,7.393950169337426
8,20,3,0.0,tanh,elu,adam,0.4497179267881393,23.75698676080616
9,20,3,0.30000000000000004,elu,elu,adam,0.5169272964238649,26.064413422595134
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
0,10,4,0.1,hard_sigmoid,selu,adamax,0.18882085543549765,8.462550365242786
1,20,2,0.2,hard_sigmoid,selu,adamax,0.20278784036558073,8.792244467943021
2,40,2,0.30000000000000004,relu,tanh,adam,0.2035798384037639,9.055797210091118
3,10,4,0.1,sigmoid,relu,adagrad,0.2632929936881906,10.334355130165264
4,30,3,0.0,hard_sigmoid,tanh,rmsprop,0.20158348650400237,11.34134146161762
5,10,1,0.0,selu,relu,adam,0.4457993633116116,28.817157475468548
6,40,1,0.2,hard_sigmoid,elu,sgd,0.6424169274850543,41.320423481991995
7,20,4,0.0,relu,tanh,nadam,0.6552074692590765,41.783900358480544
8,10,4,0.1,elu,relu,adam,0.6921393429436425,44.40560687893504
9,10,3,0.0,hard_sigmoid,sigmoid,rmsprop,0.694385194445019,44.60786284319331
0,10,2,0.2,hard_sigmoid,selu,rmsprop,0.1715735171837283,7.452317518456142
1,10,3,0.1,hard_sigmoid,selu,rmsprop,0.1985545090911939,7.726669813268888
